Running Env Steps,Real Det Return,Itration,Running Forward KL,Running Update Time,Real Sto Return,Reward Loss,Running Reverse KL,q,clip,folder,episode,environment,seed
70000,1847.43,14,19.4739,14,1270.34,-111.89971923828124,27.1709,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,70000,Hopper-v5,42
75000,1080.32,15,20.0252,15,928.84,-120.39423370361328,22.6049,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,75000,Hopper-v5,42
80000,1060.74,16,20.0878,16,941.65,-132.89727783203125,23.908,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,80000,Hopper-v5,42
85000,1258.28,17,19.9066,17,1037.37,-128.681396484375,23.4407,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,85000,Hopper-v5,42
90000,1149.54,18,19.6241,18,1057.88,-127.32965087890624,25.9048,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,90000,Hopper-v5,42
95000,1379.18,19,19.5973,19,1244.06,-78.48722076416016,17.8454,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,95000,Hopper-v5,42
100000,3010.85,20,19.445,20,2174.35,-93.61457824707033,17.8692,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,100000,Hopper-v5,42
105000,2953.47,21,19.8894,21,3002.99,-77.90328216552734,17.9184,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,105000,Hopper-v5,42
110000,3077.5,22,19.3112,22,2437.63,-75.8134994506836,16.2457,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,110000,Hopper-v5,42
115000,2984.82,23,19.3085,23,3062.32,-81.48908996582031,16.9038,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,115000,Hopper-v5,42
120000,2975.73,24,19.2681,24,3032.14,-89.93697357177734,17.0177,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,120000,Hopper-v5,42
125000,3023.79,25,18.673,25,2734.43,-81.54589080810547,16.3704,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,125000,Hopper-v5,42
130000,2939.39,26,19.8866,26,2997.57,-90.50381469726562,17.9412,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,130000,Hopper-v5,42
135000,3072.45,27,18.9565,27,3137.41,-91.39151763916016,18.281,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,135000,Hopper-v5,42
140000,3153.77,28,19.3651,28,2169.38,-126.9826431274414,25.921,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,140000,Hopper-v5,42
145000,3155.19,29,18.7634,29,1890.94,-119.28355407714844,17.053,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,145000,Hopper-v5,42
150000,3177.51,30,19.1202,30,2634.05,-106.34903717041016,16.0354,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,150000,Hopper-v5,42
155000,2983.03,31,20.0465,31,3008.77,-101.97122192382812,17.9231,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,155000,Hopper-v5,42
160000,3155.71,32,19.1012,32,2836.54,-105.87489318847656,17.9029,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,160000,Hopper-v5,42
165000,3169.39,33,19.3241,33,2673.44,-116.5473175048828,19.593,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,165000,Hopper-v5,42
170000,3192.5,34,18.9635,34,2355.54,-144.0933074951172,23.3688,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,170000,Hopper-v5,42
175000,3206.7,35,18.3871,35,2712.27,-127.03578186035156,18.3835,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,175000,Hopper-v5,42
180000,3073.25,36,19.2794,36,1881.56,-142.8931884765625,17.4834,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,180000,Hopper-v5,42
185000,3195.98,37,19.1838,37,2996.52,-123.23458862304688,16.7888,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,185000,Hopper-v5,42
190000,3204.92,38,18.8392,38,2558.7,-145.10940551757812,19.9112,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,190000,Hopper-v5,42
195000,3094.99,39,18.4236,39,3133.98,-120.66775512695312,17.3735,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,195000,Hopper-v5,42
200000,3220.4,40,18.3767,40,2413.42,-164.97254943847656,24.26,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,200000,Hopper-v5,42
205000,3188.81,41,18.4352,41,3052.82,-145.7344207763672,16.5419,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,205000,Hopper-v5,42
210000,3140.85,42,18.367,42,3151.1,-140.42970275878906,16.8657,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,210000,Hopper-v5,42
215000,3198.09,43,18.46,43,2575.51,-164.83348083496094,17.5338,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,215000,Hopper-v5,42
220000,3167.53,44,18.968,44,3160.74,-145.68890380859375,17.4572,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,220000,Hopper-v5,42
225000,3204.49,45,18.0312,45,2886.96,-155.34002685546875,15.9451,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,225000,Hopper-v5,42
230000,3163.46,46,18.7728,46,3139.06,-153.94686889648438,16.6167,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,230000,Hopper-v5,42
235000,3187.73,47,18.3699,47,2698.46,-162.0652313232422,16.4589,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,235000,Hopper-v5,42
240000,3118.2,48,18.7195,48,3138.39,-150.3578643798828,17.6007,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,240000,Hopper-v5,42
245000,3188.35,49,18.4837,49,3177.66,-157.99188232421875,16.3374,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,245000,Hopper-v5,42
250000,3148.7,50,17.732,50,2764.84,-161.67347717285156,15.0456,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,250000,Hopper-v5,42
255000,3034.27,51,17.9554,51,2960.44,-159.98043823242188,15.9011,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,255000,Hopper-v5,42
260000,3108.51,52,18.1713,52,2850.13,-171.0799102783203,16.1567,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,260000,Hopper-v5,42
265000,3154.2,53,18.0971,53,3021.13,-179.39646911621094,16.2077,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,265000,Hopper-v5,42
270000,3159.09,54,17.9323,54,3151.52,-181.7689666748047,15.8978,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,270000,Hopper-v5,42
275000,3153.02,55,18.459,55,3151.18,-179.16519165039062,16.3653,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,275000,Hopper-v5,42
280000,2927.08,56,17.8098,56,3012.77,-184.4013671875,15.8041,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,280000,Hopper-v5,42
285000,3179.63,57,18.0366,57,3173.05,-186.06497192382807,16.3476,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,285000,Hopper-v5,42
290000,3146.58,58,18.0828,58,3157.81,-187.89108276367188,16.2548,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,290000,Hopper-v5,42
295000,3145.41,59,18.3028,59,3152.2,-196.250244140625,17.0847,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,295000,Hopper-v5,42
300000,3186.74,60,18.162,60,3171.47,-206.36366271972656,15.5335,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,300000,Hopper-v5,42
305000,3179.74,61,18.0779,61,3168.6,-209.7597198486328,15.4586,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,305000,Hopper-v5,42
310000,3151.85,62,17.4898,62,3133.04,-217.92259216308597,15.1086,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,310000,Hopper-v5,42
315000,3187.98,63,17.6435,63,3059.52,-222.3466796875,16.3225,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,315000,Hopper-v5,42
320000,3183.05,64,17.6907,64,3097.38,-216.78273010253903,15.0095,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,320000,Hopper-v5,42
325000,3169.22,65,17.7036,65,3132.31,-222.9219665527344,15.4297,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,325000,Hopper-v5,42
330000,3186.7,66,17.8408,66,3005.91,-235.76010131835935,15.218,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,330000,Hopper-v5,42
335000,3161.43,67,17.824,67,3143.27,-224.06869506835935,15.6727,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,335000,Hopper-v5,42
340000,3029.51,68,17.4644,68,2994.76,-224.4291076660156,15.3452,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,340000,Hopper-v5,42
345000,3129.44,69,17.989,69,3131.3,-231.4847412109375,16.2069,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,345000,Hopper-v5,42
350000,3165.52,70,17.908,70,3154.53,-233.39138793945312,15.6313,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,350000,Hopper-v5,42
355000,3159.54,71,17.8323,71,3149.44,-242.9954376220703,15.4922,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,355000,Hopper-v5,42
360000,3160.2,72,17.2165,72,3151.25,-246.21324157714844,14.8462,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,360000,Hopper-v5,42
365000,3188.1,73,17.705,73,2974.77,-256.4925537109375,14.9553,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,365000,Hopper-v5,42
370000,3203.49,74,16.9323,74,3093.19,-259.5553894042969,14.4836,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,370000,Hopper-v5,42
375000,3184.16,75,17.2948,75,3044.5,-270.6017150878906,15.0462,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,375000,Hopper-v5,42
380000,3122.95,76,17.1987,76,3019.52,-249.26307678222656,15.2481,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,380000,Hopper-v5,42
385000,3186.97,77,17.5895,77,3047.72,-276.5890197753906,14.5794,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,385000,Hopper-v5,42
390000,3193.09,78,17.5026,78,2965.26,-264.5672912597656,14.9457,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,390000,Hopper-v5,42
395000,3165.49,79,16.9843,79,3165.62,-267.3434143066406,14.7143,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,395000,Hopper-v5,42
400000,3184.07,80,17.4648,80,3166.38,-282.3735656738281,14.8291,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,400000,Hopper-v5,42
405000,3179.87,81,17.1263,81,3092.66,-295.351806640625,15.5758,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,405000,Hopper-v5,42
410000,3153.94,82,17.1272,82,3077.15,-284.4898681640625,14.6522,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,410000,Hopper-v5,42
415000,3156.03,83,16.8708,83,3115.14,-287.0170593261719,14.7753,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,415000,Hopper-v5,42
420000,3182.47,84,16.8494,84,3173.42,-296.1063842773437,14.3948,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,420000,Hopper-v5,42
425000,3198.56,85,16.8556,85,2876.85,-301.8042907714844,14.1581,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,425000,Hopper-v5,42
430000,3198.36,86,17.23,86,3040.41,-320.51568603515625,13.6844,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,430000,Hopper-v5,42
435000,3191.36,87,17.3684,87,2877.85,-317.40704345703125,16.4282,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,435000,Hopper-v5,42
440000,3201.83,88,16.9313,88,2609.56,-311.9572448730469,12.7725,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,440000,Hopper-v5,42
445000,3186.16,89,17.1312,89,3068.31,-316.38385009765625,13.7862,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,445000,Hopper-v5,42
450000,3176.15,90,18.0304,90,3074.68,-322.2120666503906,15.0646,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,450000,Hopper-v5,42
455000,3128.25,91,17.605,91,3106.3,-331.2568664550781,17.101,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,455000,Hopper-v5,42
460000,3171.45,92,17.1302,92,3158.49,-329.85211181640625,15.1297,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,460000,Hopper-v5,42
465000,3182.84,93,17.5129,93,2873.22,-343.1665954589844,14.6323,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,465000,Hopper-v5,42
470000,3193.49,94,17.1012,94,3179.57,-346.3757629394531,15.291,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,470000,Hopper-v5,42
475000,3194.23,95,17.2608,95,2834.27,-345.634033203125,15.3606,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,475000,Hopper-v5,42
480000,3186.27,96,17.0095,96,3100.77,-366.0118713378906,15.5052,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,480000,Hopper-v5,42
485000,3183.61,97,16.7296,97,3040.36,-340.46551513671875,12.8779,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,485000,Hopper-v5,42
490000,3183.36,98,16.3361,98,3088.73,-343.0694885253906,13.2154,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,490000,Hopper-v5,42
495000,3196.18,99,17.2071,99,3010.0,-356.2224426269531,16.8051,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,495000,Hopper-v5,42
500000,3207.9,100,16.8984,100,2974.96,-359.803466796875,13.9986,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,500000,Hopper-v5,42
505000,3190.73,101,17.649,101,2337.08,-392.0880432128906,17.9478,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,505000,Hopper-v5,42
510000,3199.47,102,16.7146,102,3173.9,-360.3590087890625,13.0076,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,510000,Hopper-v5,42
515000,3192.15,103,16.6477,103,2798.61,-374.7248840332031,12.8815,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,515000,Hopper-v5,42
520000,3178.22,104,17.55,104,2841.13,-376.8825988769531,16.1138,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,520000,Hopper-v5,42
525000,3193.78,105,16.7134,105,2747.38,-380.971435546875,13.6406,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,525000,Hopper-v5,42
530000,3094.65,106,16.7602,106,2831.99,-407.4826965332031,13.3637,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,530000,Hopper-v5,42
535000,2708.19,107,17.4693,107,2758.74,-401.458740234375,16.2791,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,535000,Hopper-v5,42
540000,3179.42,108,16.9157,108,2732.29,-396.2205810546875,18.6128,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,540000,Hopper-v5,42
545000,3101.93,109,17.5151,109,2363.14,-420.7751159667969,15.5728,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,545000,Hopper-v5,42
550000,3181.73,110,16.3626,110,3140.39,-392.4050903320313,14.8364,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,550000,Hopper-v5,42
555000,3200.88,111,16.4881,111,3073.37,-432.2641906738281,17.0105,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,555000,Hopper-v5,42
560000,3180.44,112,16.3212,112,3025.09,-388.9150085449219,13.8072,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,560000,Hopper-v5,42
565000,3210.26,113,16.6341,113,2879.93,-415.0095825195313,14.0148,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,565000,Hopper-v5,42
570000,3206.66,114,16.5273,114,3021.41,-416.5216979980469,13.8948,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,570000,Hopper-v5,42
575000,3194.57,115,17.374,115,2976.83,-410.3465576171875,14.2628,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,575000,Hopper-v5,42
580000,3204.75,116,17.0089,116,2835.79,-449.6665649414063,14.8431,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,580000,Hopper-v5,42
585000,3182.74,117,16.4359,117,3166.61,-414.2571411132813,13.6845,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,585000,Hopper-v5,42
590000,3182.58,118,16.9508,118,2677.12,-456.8628540039063,17.7458,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,590000,Hopper-v5,42
595000,3187.08,119,16.4729,119,3054.79,-452.3306579589844,14.54,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,595000,Hopper-v5,42
600000,3184.83,120,16.6174,120,2769.76,-460.2449340820313,13.8691,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,600000,Hopper-v5,42
605000,3187.62,121,16.582,121,2818.41,-447.9274291992188,15.1438,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,605000,Hopper-v5,42
610000,3195.84,122,17.2843,122,2464.9,-465.9010314941406,15.8235,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,610000,Hopper-v5,42
615000,3199.83,123,16.6738,123,2860.06,-461.6655883789063,15.6079,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,615000,Hopper-v5,42
620000,3198.04,124,16.9534,124,2981.64,-455.28411865234375,13.2098,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,620000,Hopper-v5,42
625000,3196.87,125,17.0993,125,3088.32,-473.5683898925781,14.0792,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,625000,Hopper-v5,42
630000,3176.24,126,16.3162,126,3096.45,-454.6960144042969,13.9807,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,630000,Hopper-v5,42
635000,3178.94,127,16.7699,127,3029.51,-484.98724365234375,13.8114,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,635000,Hopper-v5,42
640000,3170.15,128,16.5014,128,3150.12,-474.84478759765625,13.5934,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,640000,Hopper-v5,42
645000,3170.83,129,16.5276,129,2709.4,-486.30267333984375,14.0557,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,645000,Hopper-v5,42
650000,3191.53,130,16.5796,130,2780.96,-474.7131042480469,18.1488,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,650000,Hopper-v5,42
655000,3191.44,131,16.5801,131,3131.9,-492.3924865722656,12.59,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,655000,Hopper-v5,42
660000,3198.26,132,16.8435,132,2953.64,-509.9061584472656,15.8915,4,1.0,logs/Hopper-v5/exp-1/maxentirl/2025_01_22_18_28_06_q4_seed42_qstd1.0,660000,Hopper-v5,42
